iter	Passed	Remaining
140	3854	23479
141	3887	23489
142	3908	23426
143	3935	23391
144	3962	23366
145	3991	23346
146	4016	23305
147	4041	23263
148	4061	23197
149	4090	23178
150	4116	23144
151	4145	23127
152	4175	23114
153	4210	23129
154	4244	23140
155	4278	23145
156	4300	23091
157	4307	22957
158	4328	22892
159	4352	22852
160	4378	22816
161	4405	22790
162	4428	22737
163	4448	22675
164	4469	22618
165	4493	22574
166	4531	22602
167	4557	22568
168	4583	22537
169	4606	22490
170	4629	22441
171	4656	22416
172	4681	22377
173	4699	22310
174	4729	22295
175	4757	22275
176	4779	22225
177	4784	22095
178	4795	21993
179	4816	21940
180	4838	21892
181	4861	21850
182	4897	21864
183	4917	21807
184	4942	21775
185	4973	21763
186	5002	21748
187	5032	21735
188	5053	21685
189	5074	21634
190	5110	21645
191	5132	21598
192	5157	21563
193	5190	21564
194	5220	21552
195	5249	21533
196	5284	21540
197	5319	21544
198	5349	21533
199	5378	21514
200	5401	21472
201	5419	21410
202	5442	21367
203	5462	21314
204	5483	21263
205	5500	21201
206	5526	21171
207	5570	21209
208	5592	21166
209	5613	21119
210	5635	21071
211	5639	20962
212	5660	20913
213	5681	20867
214	5704	20828
215	5732	20806
216	5742	20721
217	5764	20678
218	5785	20631
219	5805	20584
220	5826	20537
221	5847	20493
222	5868	20446
223	5888	20400
224	5916	20379
225	5951	20381
226	5972	20338
227	5998	20310
228	6019	20266
229	6046	20241
230	6066	20196
231	6087	20152
232	6116	20135
233	6151	20136
234	6172	20093
235	6193	20049
236	6213	20003
237	6234	19961
238	6255	19917
239	6278	19883
240	6300	19843
241	6323	19808
242	6353	19791
243	6360	19708
244	6372	19637
245	6392	19593
246	6409	19539
247	6429	19496
248	6443	19433
249	6462	19387
250	6482	19344
251	6502	19301
252	6531	19283
253	6554	19250
254	6574	19208
255	6595	19166
256	6631	19172
257	6660	19156
258	6681	19116
259	6704	19080
260	6731	19058
261	6741	18988
262	6750	18915
263	6770	18876
264	6795	18848
265	6816	18808
266	6836	18769
267	6858	18733
268	6879	18694
269	6893	18636
270	6903	18570
271	6912	18502
272	6929	18452
273	6950	18415
274	6970	18377
275	6991	18340
276	7012	18304
277	7035	18273
278	7064	18257
279	7090	18233
280	7100	18168
281	7127	18147
282	7151	18117
283	7171	18081
284	7185	18027
285	7212	18006
286	7233	17971
287	7255	17935
288	7275	17899
289	7299	17871
290	7318	17832
291	7348	17817
292	7369	17782
293	7390	17746
294	7410	17709
295	7427	17664
296	7447	17627
297	7467	17591
298	7498	17580
299	7527	17564
300	7550	17534
301	7567	17491
302	7584	17447
303	7593	17384
304	7623	17370
305	7644	17338
306	7664	17301
307	7686	17269
308	7712	17246
309	7735	17216
310	7749	17168
311	7770	17136
312	7791	17102
313	7811	17066
314	7828	17023
315	7849	16991
316	7872	16961
317	7895	16934
318	7935	16941
319	7960	16915
320	7971	16862
321	7979	16801
322	7989	16746
323	8010	16713
324	8018	16654
325	8041	16625
326	8065	16600
327	8091	16578
328	8114	16549
329	8124	16496
330	8146	16464
331	8172	16443
332	8196	16417
333	8218	16387
334	8238	16354
335	8259	16322
336	8280	16290
337	8301	16258
338	8326	16234
339	8355	16220
340	8383	16200
341	8403	16168
342	8417	16123
343	8437	16090
344	8459	16060
345	8480	16029
346	8500	15996
347	8521	15965
348	8525	15903
349	8545	15871
350	8555	15819
351	8580	15796
352	8621	15802
353	8646	15778
354	8666	15746
355	8687	15715
356	8707	15682
357	8727	15651
358	8749	15621
359	8774	15599
360	8794	15567
361	8808	15524
362	8816	15471
363	8837	15441
364	8858	15410
365	8878	15379
366	8901	15352
367	8921	15321
368	8942	15291
369	8963	15261
370	8990	15241
371	9012	15213
372	9034	15185
373	9050	15148
374	9078	15130
375	9102	15105
376	9122	15075
377	9158	15071
378	9186	15052
379	9209	15026
380	9231	14997
381	9242	14952
382	9249	14901
383	9271	14872
384	9297	14851
385	9319	14825
386	9338	14792
387	9364	14770
388	9390	14749
389	9427	14745
390	9459	14733
391	9482	14708
392	9493	14662
393	9515	14635
394	9549	14625
395	9573	14602
396	9590	14567
397	9615	14544
398	9672	14568
399	9694	14541
400	9705	14497
401	9733	14479
402	9755	14451
403	9776	14422
404	9796	14392
405	9816	14362
406	9836	14332
407	9857	14302
408	9861	14250
409	9883	14222
410	9911	14204
411	9947	14196
412	9968	14167
413	9988	14138
414	10027	14135
415	10071	14138
416	10098	14119
417	10120	14091
418	10142	14064
419	10177	14054
420	10204	14034
421	10233	14016
422	10255	13989
423	10285	13972
424	10302	13938
425	10326	13913
426	10336	13871
427	10357	13841
428	10378	13814
429	10399	13784
430	10428	13767
431	10451	13741
432	10468	13708
433	10489	13679
434	10510	13651
435	10532	13624
436	10558	13602
437	10698	13727
438	10727	13709
439	10754	13687
440	10778	13662
441	10806	13642
442	10830	13618
443	10845	13581
444	10868	13555
445	10889	13525
446	10914	13502
447	10934	13473
448	10944	13430
449	10955	13390
450	10966	13349
451	10994	13329
452	11014	13300
453	11035	13271
454	11056	13243
455	11082	13220
456	11116	13207
457	11152	13197
458	11185	13183
459	11215	13165
460	11244	13146
461	11271	13125
462	11298	13103
463	11332	13090
464	11364	13074
465	11383	13044
466	11404	13015
467	11424	12986
468	11444	12957
469	11465	12929
470	11476	12889
471	11496	12860
472	11511	12826
473	11542	12808
474	11559	12776
475	11580	12748
476	11609	12728
477	11634	12705
478	11658	12680
479	11675	12648
480	11687	12610
481	11750	12628
482	11773	12602
483	11803	12583
484	11824	12556
485	11842	12525
486	11861	12494
487	11892	12477
488	11934	12471
489	11983	12472
490	12014	12454
491	12038	12429
492	12065	12408
493	12088	12381
494	12105	12349
495	12127	12323
496	12149	12295
497	12156	12254
498	12179	12228
499	12197	12197
500	12220	12172
501	12253	12155
502	12281	12134
503	12306	12111
504	12332	12088
505	12355	12062
506	12378	12036
507	12405	12014
508	12432	11992
509	12454	11966
510	12476	11939
511	12496	11911
512	12518	11883
513	12539	11856
514	12560	11828
515	12581	11801
516	12613	11783
517	12646	11767
518	12677	11749
519	12712	11734
520	12783	11753
521	12816	11736
522	12843	11713
523	12880	11700
524	12903	11674
525	12924	11646
526	12944	11617
527	12964	11589
528	12986	11562
529	13006	11534
530	13027	11506
531	13067	11495
532	13087	11467
533	13112	11442
534	13142	11422
535	13165	11397
536	13186	11369
537	13193	11330
538	13207	11296
539	13229	11269
540	13252	11243
541	13271	11214
542	13292	11187
543	13313	11159
544	13333	11131
545	13359	11108
546	13369	11072
547	13386	11041
548	13399	11007
549	13407	10969
550	13418	10934
551	13438	10906
552	13457	10878
553	13480	10852
554	13497	10822
555	13518	10795
556	13539	10768
557	13559	10740
558	13579	10713
559	13600	10685
560	13608	10648
561	13628	10621
562	13648	10594
563	13669	10567
564	13691	10541
565	13712	10514
566	13733	10487
567	13754	10461
568	13805	10457
569	13826	10430
570	13847	10403
571	13867	10376
572	13888	10349
573	13942	10347
574	13954	10313
575	13993	10300
576	14024	10281
577	14057	10263
578	14091	10246
579	14127	10230
580	14168	10218
581	14208	10204
582	14242	10187
583	14259	10157
584	14279	10130
585	14299	10102
586	14316	10072
587	14338	10046
588	14358	10019
589	14379	9992
590	14400	9965
591	14432	9946
592	14451	9918
593	14484	9900
594	14514	9879
595	14548	9861
596	14582	9843
597	14614	9824
598	14645	9804
599	14666	9777
600	14687	9751
601	14698	9717
602	14703	9680
603	14723	9653
604	14744	9626
605	14766	9600
606	14824	9598
607	14839	9567
608	14873	9549
609	14910	9532
610	14943	9513
611	14976	9494
612	15038	9494
613	15062	9469
614	15087	9445
615	15115	9422
616	15129	9391
617	15151	9365
618	15172	9338
619	15203	9318
620	15236	9299
621	15252	9269
622	15285	9249
623	15325	9234
624	15366	9219
625	15394	9197
626	15416	9170
627	15437	9144
628	15458	9117
629	15479	9090
630	15500	9064
631	15523	9038
632	15558	9020
633	15591	9000
634	15624	8980
635	15668	8967
636	15702	8948
637	15722	8920
638	15749	8897
639	15770	8871
640	15792	8845
641	15849	8838
642	15872	8812
643	15904	8791
644	15938	8772
645	15970	8751
646	16002	8730
647	16052	8719
648	16086	8700
649	16120	8680
650	16143	8654
651	16166	8628
652	16193	8605
653	16234	8588
654	16247	8557
655	16282	8538
656	16318	8519
657	16350	8498
658	16395	8483
659	16412	8454
660	16444	8433
661	16476	8412
662	16513	8393
663	16559	8379
664	16580	8352
665	16601	8325
666	16621	8298
667	16642	8271
668	16678	8252
669	16711	8231
670	16742	8209
671	16809	8204
672	18564	9020
673	18591	8992
674	18623	8966
675	18645	8936
676	18660	8902
677	18680	8872
678	18698	8839
679	18720	8809
680	18741	8778
681	18762	8748
682	18785	8718
683	18805	8687
684	18825	8656
685	18847	8626
686	18857	8591
687	18877	8560
688	18888	8525
689	18907	8494
690	18938	8468
691	18951	8434
692	18958	8398
693	18983	8370
694	19005	8340
695	19019	8307
696	19042	8278
697	19050	8242
698	19070	8211
699	19078	8176
700	19104	8148
701	19117	8115
702	19147	8089
703	19155	8053
704	19174	8023
705	19196	7994
706	19218	7964
707	19249	7938
708	19263	7906
709	19297	7881
710	19333	7858
711	19353	7828
712	19374	7798
713	19397	7769
714	19418	7740
715	19439	7710
716	19460	7680
717	19480	7651
718	19502	7621
719	19523	7592
720	19546	7563
721	19567	7534
722	19621	7517
723	19673	7499
724	19705	7474
725	19740	7450
726	19764	7421
727	19771	7387
728	19791	7357
729	19813	7328
730	19835	7299
731	19856	7269
732	19888	7244
733	19924	7220
734	19952	7193
735	19990	7170
736	20038	7150
737	20071	7125
738	20085	7093
739	20119	7068
740	20164	7047
741	20191	7020
742	20212	6991
743	20233	6961
744	20255	6932
745	20276	6903
746	20297	6874
747	20311	6842
748	20332	6813
749	20379	6793
750	20420	6770
751	20452	6745
752	20473	6715
753	20481	6682
754	20502	6653
755	20523	6623
756	20544	6594
757	20558	6563
758	20589	6537
759	20648	6520
760	20671	6492
761	20693	6463
762	20714	6434
763	20735	6405
764	20755	6375
765	20777	6347
766	20799	6318
767	20820	6289
768	20843	6261
769	20865	6232
770	20889	6204
771	20911	6176
772	20932	6147
773	20958	6119
774	20999	6096
775	21026	6069
776	21048	6040
777	21077	6014
778	21103	5987
779	21111	5954
780	21147	5929
781	21157	5898
782	21174	5868
783	21194	5839
784	21215	5810
785	21230	5780
786	21251	5751
787	21271	5722
788	21292	5694
789	21320	5667
790	21342	5639
791	21363	5610
792	21384	5581
793	21413	5555
794	21435	5527
795	21468	5501
796	21505	5477
797	21550	5455
798	21566	5425
799	21599	5399
800	21620	5371
801	21689	5354
802	21721	5328
803	21745	5301
804	21766	5272
805	21798	5246
806	21833	5221
807	21854	5193
808	21933	5178
809	21981	5156
810	22028	5133
811	22044	5103
812	22054	5072
813	22096	5049
814	22128	5023
815	22164	4997
816	22210	4974
817	22224	4944
818	22260	4919
819	22293	4893
820	22325	4867
821	22349	4839
822	22369	4810
823	22390	4782
824	22412	4754
825	22433	4725
826	22450	4696
827	22471	4668
828	22493	4639
829	22515	4611
830	22537	4583
831	22559	4555
832	22569	4524
833	22598	4497
834	22633	4472
835	22665	4446
836	22808	4441
837	22849	4417
838	22875	4389
839	22897	4361
840	22923	4333
841	22949	4306
842	22957	4275
843	22978	4247
844	22999	4218
845	23022	4190
846	23045	4162
847	23076	4136
848	23122	4112
849	23158	4086
850	23176	4057
851	23214	4032
852	23254	4007
853	23289	3981
854	23321	3955
855	23369	3931
856	23405	3905
857	23428	3877
858	23450	3849
859	23464	3819
860	23484	3791
861	23505	3763
862	23526	3734
863	23553	3707
864	23579	3680
865	23620	3654
866	23663	3629
867	23697	3603
868	23723	3576
869	23738	3547
870	23777	3521
871	23804	3494
872	23875	3473
873	23904	3446
874	23925	3417
875	23946	3389
876	23966	3361
877	23987	3333
878	24013	3305
879	24040	3278
880	24084	3253
881	24118	3226
882	24150	3200
883	24178	3172
884	24209	3145
885	24239	3118
886	24253	3089
887	24277	3062
888	24299	3034
889	24321	3006
890	24343	2978
891	24364	2949
892	24409	2924
893	24441	2897
894	24477	2871
895	24512	2845
896	24559	2820
897	24591	2793
898	24619	2765
899	24655	2739
900	24683	2712
901	24719	2685
902	24756	2659
903	24791	2632
904	24824	2605
905	24868	2580
906	24971	2560
907	24995	2532
908	25002	2503
909	25023	2474
910	25052	2447
911	25077	2419
912	25099	2391
913	25127	2364
914	25166	2337
915	25187	2309
916	25208	2281
917	25229	2253
918	25255	2225
919	25283	2198
920	25305	2170
921	25322	2142
922	25354	2115
923	25388	2088
924	25425	2061
925	25457	2034
926	25488	2007
927	25511	1979
928	25537	1951
929	25566	1924
930	25588	1896
931	25609	1868
932	25631	1840
933	25666	1813
934	25688	1785
935	25715	1758
936	25737	1730
937	25767	1703
938	25815	1677
939	25849	1649
940	25880	1622
941	25913	1595
942	25945	1568
943	26030	1544
944	26063	1516
945	26106	1490
946	26148	1463
947	26187	1436
948	26220	1409
949	26254	1381
950	26285	1354
951	26307	1326
952	26342	1299
953	26364	1271
954	26388	1243
955	26429	1216
956	26450	1188
957	26474	1160
958	26503	1133
959	26533	1105
960	26571	1078
961	26605	1050
962	26640	1023
963	26653	995
964	26675	967
965	26708	940
966	26729	912
967	26751	884
968	26772	856
969	26794	828
970	26817	800
971	26842	773
972	26866	745
973	26888	717
974	26912	690
975	26934	662
976	26953	634
977	26974	606
978	26997	579
979	27068	552
980	27118	525
981	27163	497
982	27210	470
983	27242	442
984	27269	415
985	27291	387
986	27312	359
987	27343	332
988	27375	304
989	27396	276
990	27420	249
991	27443	221
992	27464	193
993	27485	165
994	27506	138
995	27527	110
996	27548	82
997	27569	55
998	27590	27
999	27611	0
